사업자번호,법인명,성명,주소,당좌거래 정지일
117-81-*****,케이투넷,,서울양천구국회대로,20170119
104-81-*****,코마코,,서울중구동호로,20180221
125-81-*****,코맥이엔씨,,경기평택시청북면청오로,20170919
124-81-*****,코미스,,경기화성시정남면서봉로,20160823
408-81-*****,코스,,전남곡성군삼기면경악리,20170524
515-81-*****,코스,,경북경산시남천면산전길,20170705
113-81-*****,코텍에너지,,서울구로구구로중앙로30길,20161011
121-81-*****,코펙스,,인천남구봉수대로,20180404
610-81-*****,태극엔터프라이즈,,울산울주군청량면처용산업3길,20171012
132-81-*****,태승종합유통,,경기오산시독산성로,20180124
602-81-*****,태일벽지상사,,부산남구유엔평화로,20161006
127-86-*****,태일전기,,서울동대문구황물로,20180307
403-81-*****,태창관동,,전북익산시약촌로,20171020
502-81-*****,태한건설,,대구달서구와룡로,20160803
607-86-*****,토경기업,,대구서구서대구로,20170912
106-81-*****,톱크라스상사,,서울용산구두텁바위로,20161005
111-88-*****,통일기업,,서울성북구정릉로,20180704
573-86-*****,통일기획,,서울성북구정릉로,20170626
